name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
Philadelphia International Airport,US,PA,72408,KPHL,39.8667,-75.2333,6.0,America/New_York,1973-01-01,2025-04-23,1940-07-01,2025-04-20,1940-01-01,2022-01-01,10721.254538772962
Philadelphia / Ashton Wooden Bridge,US,PA,,KPNE,40.0819,-75.0106,37.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,2005-01-01,2021-01-01,19984.44061189309
Trenton / Altura,US,NJ,,KTTN,40.2767,-74.8135,65.0,America/New_York,1973-01-01,2025-04-23,1975-07-10,2022-04-24,2005-01-01,2021-01-01,47315.40219483458
Wilmington / Duross Heights,US,DE,72418,KILG,39.6787,-75.6066,24.0,America/New_York,1942-08-01,2025-04-23,1931-04-16,2025-04-20,1943-01-01,2022-01-01,47964.97005153966
Wrightstown / Pointville,US,NJ,,KWRI,40.0156,-74.5917,40.0,America/New_York,1942-08-01,2025-04-23,1942-08-12,2022-04-24,1942-01-01,2021-01-01,49809.068544670656
Millville / Farmingdale,US,NJ,,KMIV,39.3678,-75.0722,26.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1999-01-01,2021-01-01,65276.78122793113
Lakehurst Naval Air Station,US,NJ,72409,KNEL,40.0333,-74.3167,31.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-21,2010-01-01,2021-01-01,73280.64300816137
Reading Wbo City / Wyomissing,US,PA,,KRDG,40.3333,-75.9667,88.0,America/New_York,1990-03-14,2025-04-23,1999-02-19,2022-04-24,2005-01-01,2021-01-01,80017.20125277036
Lehigh Valley International  Airport,US,PA,72517,KABE,40.65,-75.45,120.0,America/New_York,1973-01-01,2025-04-23,1948-01-01,2025-04-20,1948-01-01,2022-01-01,81377.71277378453
Belmar / Carmerville,US,NJ,,KBLM,40.1868,-74.1246,47.0,America/New_York,1983-04-21,2025-04-23,1992-04-17,2022-04-24,2020-01-01,2022-01-01,92772.57222988944
Atlantic City International,US,NJ,72407,KACY,39.4667,-74.0833,23.0,America/New_York,1947-01-01,2025-04-23,1947-01-01,2025-04-21,1947-01-01,2022-01-01,107374.37923426848
Newark Airport,US,NJ,72502,KEWR,40.6833,-74.0,5.0,America/New_York,1973-01-01,2025-04-23,1893-01-01,2025-04-20,1893-01-01,2022-01-01,128406.2605600333
Teterboro,US,NJ,,KTEB,40.8501,-74.0608,3.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2005-01-01,2022-01-01,137254.28230858783
New York City / Yorkville,US,NY,,KNYC,40.7789,-73.9692,3.0,America/New_York,1943-12-01,2025-04-23,1943-12-02,2022-04-24,1944-01-01,2021-01-01,137276.31742394032
John F. Kennedy Airport,US,NY,74486,KJFK,40.6333,-73.7667,4.0,America/New_York,1973-01-01,2025-04-23,1948-07-17,2025-04-20,1948-01-01,2022-01-01,141202.47678213648
Baltimore,US,MD,,KDMH,39.2833,-76.6167,6.0,America/New_York,1999-01-14,2025-04-23,1999-07-02,2020-06-03,1999-01-01,2020-01-01,144398.5567833874
Harrisburg / New Market,US,PA,72511,KCXY,40.2171,-76.8515,106.0,America/New_York,1991-01-01,2025-04-23,1939-01-01,2025-04-20,1939-01-01,2022-01-01,146103.2607217781
Wilkes-Barre/Scranton International,US,PA,72513,KAVP,41.3333,-75.0667,293.0,America/New_York,1973-01-01,2025-04-23,1949-01-01,2025-04-20,1949-01-01,2022-01-01,154062.64576029486
Baltimore-Washington International,US,MD,72406,KBWI,39.1667,-76.6833,45.0,America/New_York,1945-01-01,2025-04-23,1939-07-01,2025-04-20,1939-01-01,2022-01-01,156255.36080092337
Fort Meade / Ft Meade / Portland Station (Historical),US,MD,,KFME,39.0854,-76.7594,46.0,America/New_York,1959-11-13,2025-04-23,1959-11-14,2022-04-24,1959-01-01,2022-01-01,166820.09568945388
Selinsgrove / Dogtown,US,PA,,KSEG,40.8212,-76.8642,141.0,America/New_York,1999-01-14,2025-04-23,1999-01-16,2022-04-24,2005-01-01,2021-01-01,173127.33128044975
White Plains / Sarosca Farm Estates,US,NY,,KHPN,41.0669,-73.7076,134.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1974-01-01,2021-01-01,175236.43871175146
Camp Springs / Andrews Air Force Base,US,MD,74594,KADW,38.8167,-76.85,86.0,America/New_York,1943-06-19,2025-04-23,1943-07-04,2022-04-25,1943-01-01,2021-01-01,191638.32417058715
Islip / Lakeland,US,NY,72505,KISP,40.7953,-73.1002,30.0,America/New_York,1973-01-01,2025-04-23,1963-09-05,2025-04-20,1963-01-01,2022-01-01,198936.441338542
Nas Patuxent River Md,US,MD,72404,KNHK,38.3,-76.0667,12.0,America/New_York,1945-03-01,2025-04-23,1945-03-01,2025-04-20,1945-01-01,2022-01-01,199107.32866857538
Washington National Airport,US,DC,72405,KDCA,38.85,-77.0333,5.0,America/New_York,1936-09-01,2025-04-23,1936-09-01,2025-04-21,1936-01-01,2022-01-01,201470.26717581114
LaGuardia Airport,US,NY,72503,KLGA,40.7833,-73.05,7.0,America/New_York,1973-01-01,2025-04-23,1939-10-07,2025-04-20,1939-01-01,2022-01-01,202093.0847220091
Williamsport-Lycoming County,US,PA,72514,KIPT,41.25,-76.9167,161.0,America/New_York,1973-01-01,2025-04-23,1901-01-30,2025-04-20,1948-01-01,2022-01-01,206492.23903068466
Poughkeepsie  /  New Hackensack,US,NY,,KPOU,41.6266,-73.8842,50.0,America/New_York,1973-01-01,2025-04-23,1973-01-04,2022-04-24,1974-01-01,2022-01-01,215571.51681474177
Sikorsky Memorial Airport,US,CT,72504,KBDR,41.1667,-73.1333,3.0,America/New_York,1942-12-08,2025-04-23,1942-12-08,2025-04-21,1943-01-01,2022-01-01,218868.26712283556
